stationid,lat,lon,duration,gradient
72,40.76727216,-73.99392888,17058703,97027.97754
79,40.71911552,-74.00666661,8721961,62978.73222
82,40.71117416,-74.00016545,6808909,23706.99516
83,40.68382604,-73.97632328,17348578,30608.93818
116,40.74177603,-74.00149746,12726742,90845.87259
119,40.69608941,-73.97803415,2599092,4064.30736
120,40.68676793,-73.95928168,3314874,13838.73577
127,40.73172428,-74.00674436,20667388,276550.5591
128,40.72710258,-74.00297088,22034047,303643.6017
143,40.69239502,-73.99337909,6971147,53972.29896
144,40.69839895,-73.98068914,6412858,15481.95246
146,40.71625008,-74.0091059,8685357,143838.4055
150,40.7208736,-73.98085795,8265835,48537.62562
151,40.72210379,-73.99724901,31177967,176325.3597
152,40.71473993,-74.00910627,9454856,134164.76
153,40.75206231,-73.9816324,10683139,76918.64968
157,40.69089272,-73.99612349,6213872,29745.76672
161,40.72917025,-73.99810231,18650244,117400.1785
164,40.75323098,-73.97032517,10251921,66013.48103
167,40.7489006,-73.97604882,14440924,95708.55735
168,40.73971301,-73.99456405,22337537,171679.9168
173,40.76068327,-73.98452729,18780704,235669.7273
174,40.7381765,-73.97738662,10014194,80958.855
195,40.70905623,-74.01043382,18026565,86908.06756
212,40.74334935,-74.00681753,16975853,130549.8644
216,40.70037867,-73.99548059,5204171,11471.40437
217,40.70277159,-73.99383605,29642255,65142.57785
223,40.73781509,-73.99994661,10020442,145292.9412
224,40.71146364,-74.00552427,1739777,9414.912965
228,40.7546011,-73.97187886,8969412,58103.47509
229,40.72743423,-73.99379025,20421675,308314.6025
232,40.69597683,-73.99014892,8057625,47298.09
236,40.7284186,-73.98713956,17251171,123495.0507
237,40.73047309,-73.98672378,16498530,127543.4059
238,40.7361967,-74.00859207,12588110,152115.6703
239,40.69196566,-73.9813018,6651499,35047.22632
241,40.68981035,-73.97493121,5753062,20746.43205
242,40.697787,-73.973736,4778666,32188.57656
243,40.688226,-73.979382,3869972,23023.2584
244,40.69196035,-73.96536851,4895110,19840.75656
245,40.69327018,-73.97703874,10099345,9875.961454
247,40.73535398,-74.00483091,9665797,69642.90061
248,40.72185379,-74.00771779,3764688,50561.33467
249,40.71870987,-74.0090009,7532752,103041.6919
251,40.72317958,-73.99480012,18577927,271644.3969
252,40.73226398,-73.99852205,11261430,161178.5306
253,40.73543934,-73.99453948,11191164,64106.53546
254,40.73532427,-73.99800419,7455472,58507.40757
257,40.71939226,-74.00247214,13229579,86486.44339
258,40.68940747,-73.96885458,5295250,27076.52624
259,40.70122128,-74.01234218,19758400,86062.6716
260,40.70365182,-74.01167797,6988486,32983.8806
261,40.69474881,-73.98362464,6514804,38230.97983
262,40.6917823,-73.9737299,3343890,16222.97979
264,40.70706456,-74.00731853,9716116,46344.81465
265,40.72229346,-73.99147535,17996150,97557.09223
266,40.72368361,-73.97574813,8519820,27810.60683
267,40.75097711,-73.98765428,16288201,84572.02338
268,40.71910537,-73.99973337,14087290,83497.71536
270,40.69308257,-73.97178913,2641429,16187.59955
274,40.68691865,-73.976682,8698870,30088.7213
275,40.68650065,-73.96563307,2874154,17357.7246
276,40.71748752,-74.0104554,8646704,57814.87206
278,40.69766564,-73.98476437,5029880,21986.16981
279,40.707873,-74.00167,24358845,88848.81069
280,40.73331967,-73.99510132,10209863,137872.0922
281,40.7643971,-73.97371465,68672558,178303.5661
282,40.70764494,-73.96841526,8430288,32154.95158
284,40.73901691,-74.00263761,22313445,328294.5337
285,40.73454567,-73.99074142,25286702,375142.1934
289,40.6845683,-73.95881081,2729903,10584.20984
291,40.713126,-73.984844,5992603,30426.21091
293,40.73020661,-73.99102628,25330064,182602.7229
295,40.71406667,-73.99293911,8941693,50034.67955
296,40.71413089,-73.9970468,10211477,178294.046
297,40.734232,-73.986923,15109446,131236.6866
301,40.72217444,-73.98368779,13910302,89602.80807
