week,ebike_return_error,lost_demand,out_of_battery_trips,ebike_trips
1,7906,60372,1779,400270
2,8411,58893,2096,402745
3,7844,57570,2129,400516
4,7741,57446,1959,402867
5,7642,57778,2112,402036
6,7532,58058,2231,401772
7,7541,58439,2438,401838
8,7808,58344,2425,401534
9,8259,56977,2333,403985
10,7966,56977,2343,403440
11,8342,58928,2335,401837
12,8351,58575,2221,402340
13,8014,55999,2050,403679
14,8173,56711,2160,404517
15,8081,57519,2062,403306
16,8185,58040,2079,403672
17,7856,58578,2121,401622
18,8144,58199,2354,402450
19,8434,57649,2152,402310
20,8072,58733,2200,402390
21,7936,58006,2343,402195
22,8298,56833,2112,403195
23,8120,55766,2148,404742
24,8068,58692,2620,402208
25,8024,57517,2551,402211
26,8201,56430,2436,403934
27,7853,57516,2406,404143
28,7991,57639,2212,402561
29,7794,56390,2424,403145
30,8366,58436,2469,401215
31,7531,58043,2425,402854
32,8221,57439,2502,403742
33,8101,58679,2265,402544
34,7846,57535,2290,402458
35,8116,56884,2289,403003
