week,ebike_return_error,lost_demand,out_of_battery_trips,ebike_trips
1,8557,58647,1085,401603
2,7985,55630,2704,405741
3,8361,56824,3113,403120
4,8132,56482,3459,403357
5,7584,57810,3698,401316
6,7656,57237,3401,402677
7,8084,58041,4360,402278
8,7938,58044,3919,402299
9,7927,57462,4038,403627
10,7357,58280,3989,402334
11,7996,57988,3970,401869
12,7948,57110,3842,402781
13,7753,57146,4071,403063
14,7465,57109,4106,403028
15,7662,57647,3951,402795
16,7737,57865,4433,402908
17,8197,57802,4331,403369
18,7402,57696,4040,402848
19,7424,58313,4486,401962
20,7508,57152,4316,402660
21,8117,59686,4319,401194
22,8334,57948,4274,403144
23,8376,58189,4019,401375
24,7700,58571,4030,401519
25,7654,59297,3982,400420
26,7796,58348,3991,401841
27,7965,57837,4058,400939
28,8093,57359,3923,402679
29,8004,57570,4270,403410
30,7818,56440,3907,402883
31,8306,56626,4026,405050
32,7959,56583,3703,403530
33,8454,57210,4056,402967
34,8189,57764,4227,403031
35,7913,56993,4126,403278
36,7822,58381,4342,401323
37,7484,58081,3977,400499
38,7438,58470,4206,401900
39,7602,57153,4271,402737
40,7266,58669,4281,400292
41,7549,58143,3794,401125
42,7286,59136,4182,400577
43,7782,59306,4455,400248
44,7703,58123,4107,400952
45,7863,58163,4232,402004
46,7622,57644,3941,402159
47,7597,57558,3952,401924
48,7803,57797,4167,401517
49,7733,58723,3951,401300
50,7684,58852,4288,401771
