week,ebike_return_error,lost_demand,out_of_battery_trips,ebike_trips
1,8496,58308,5504,402300
2,8124,56695,48310,403163
3,8435,57940,63128,402468
4,8444,57073,65939,403474
5,7803,57763,67136,401960
6,8242,56877,63902,403996
7,8476,57085,61717,403847
8,8385,57219,64307,403391
9,8099,57966,65951,403347
10,7865,59457,66341,401667
11,7981,58370,67365,401824
12,8265,58288,65438,402018
13,7721,56802,65023,403161
14,7570,58236,66066,401455
15,8189,58702,65982,402558
16,7824,58658,67053,402444
17,7913,58544,65452,402234
18,7759,56955,66521,403937
19,7745,57943,68934,402179
20,7960,57263,64564,402534
21,8461,57982,66166,402444
22,8896,56466,66022,405122
23,8613,57877,64527,402302
24,7899,58284,67823,403025
25,7956,58547,63085,401131
26,7696,58262,63950,401912
27,7965,58354,64662,400809
28,8313,58224,65069,402142
29,8183,58506,67259,403385
30,7745,57833,67709,401706
31,8081,57774,63681,403264
32,8038,58821,70552,401188
33,8399,57340,66807,403001
34,8308,57789,67245,402859
35,7889,56961,70469,403003
36,8090,57935,69416,402619
37,7941,56959,64750,402873
38,7881,57191,66708,403696
39,8258,57527,65335,402684
40,7504,57955,65193,401622
41,7733,57365,64521,401955
42,8062,58312,66082,402518
43,8499,57697,63916,402950
44,8047,57460,65531,401928
45,7960,58526,66571,401680
46,7719,57075,64660,402350
47,7920,57079,67089,402875
48,8371,57709,64630,401808
49,8363,57453,67620,403378
50,8139,58238,65918,402920
