week,ebike_return_error,lost_demand,out_of_battery_trips,ebike_trips
1,8400,58689,1502,401271
2,8154,56833,1701,403347
3,8029,57854,1866,401835
4,7851,57365,2153,402156
5,7169,57438,2000,401485
6,8206,58097,2552,402536
7,8445,57457,2829,402573
8,8250,57399,2762,403389
9,7876,57791,2908,403402
10,7452,59356,3121,401610
11,7808,57843,3292,401754
12,8062,58671,3382,401781
13,7738,57783,3230,402303
14,7550,57934,3240,402634
15,7629,58881,3550,401288
16,7477,57812,4008,403081
17,7795,58112,3973,403024
18,7609,56958,3702,403206
19,7521,58255,3435,402151
20,7764,57258,3370,402566
21,8347,58878,3024,401591
22,8475,57628,3388,402819
23,8156,58092,3242,401394
24,7991,57813,3121,402425
25,7931,58358,3117,401039
26,7688,58549,3158,400890
27,7610,57283,3617,401508
28,8034,57425,3402,401967
29,7712,58360,3412,402303
30,7665,57761,3387,401716
31,7533,57662,3425,403398
32,7662,57272,3533,402013
33,8584,56541,3574,403941
34,8134,57544,3031,403412
35,7581,57459,3373,402673
