station,SOC provided,whether_electrified
72,97027.97754,FALSE
79,62978.73222,FALSE
82,23706.99516,FALSE
83,30608.93818,FALSE
116,90845.87259,FALSE
119,4064.30736,FALSE
120,13838.73577,FALSE
127,276550.5591,TRUE
128,303643.6017,TRUE
143,53972.29896,FALSE
144,15481.95246,FALSE
146,143838.4055,TRUE
150,48537.62562,FALSE
151,176325.3597,FALSE
152,134164.76,TRUE
153,76918.64968,FALSE
157,29745.76672,FALSE
161,117400.1785,FALSE
164,66013.48103,FALSE
167,95708.55735,FALSE
168,171679.9168,FALSE
173,235669.7273,TRUE
174,80958.855,FALSE
195,86908.06756,FALSE
212,130549.8644,FALSE
216,11471.40437,FALSE
217,65142.57785,FALSE
223,145292.9412,TRUE
224,9414.912965,FALSE
228,58103.47509,FALSE
229,308314.6025,TRUE
232,47298.09,FALSE
236,123495.0507,FALSE
237,127543.4059,FALSE
238,152115.6703,TRUE
239,35047.22632,FALSE
241,20746.43205,FALSE
242,32188.57656,FALSE
243,23023.2584,FALSE
244,19840.75656,FALSE
245,9875.961454,FALSE
247,69642.90061,FALSE
248,50561.33467,TRUE
249,103041.6919,TRUE
251,271644.3969,TRUE
252,161178.5306,TRUE
253,64106.53546,FALSE
254,58507.40757,FALSE
257,86486.44339,FALSE
258,27076.52624,FALSE
259,86062.6716,FALSE
260,32983.8806,FALSE
261,38230.97983,FALSE
262,16222.97979,FALSE
264,46344.81465,FALSE
265,97557.09223,FALSE
266,27810.60683,FALSE
267,84572.02338,FALSE
268,83497.71536,FALSE
270,16187.59955,FALSE
274,30088.7213,FALSE
275,17357.7246,FALSE
276,57814.87206,FALSE
278,21986.16981,FALSE
279,88848.81069,FALSE
280,137872.0922,TRUE
281,178303.5661,TRUE
282,32154.95158,FALSE
284,328294.5337,TRUE
285,375142.1934,TRUE
289,10584.20984,FALSE
291,30426.21091,FALSE
293,182602.7229,FALSE
295,50034.67955,FALSE
296,178294.046,TRUE
297,131236.6866,FALSE
301,89602.80807,FALSE
302,35766.09848,FALSE
303,82288.54628,FALSE
304,101881.5706,FALSE
305,175507.3891,TRUE
306,61652.66816,FALSE
307,67929.1638,FALSE
308,44372.77367,FALSE
309,193261.3134,TRUE
310,31857.41634,FALSE
311,49007.4963,FALSE
312,107910.0999,FALSE
313,29345.74655,FALSE
314,36656.06085,FALSE
315,273998.1305,TRUE
316,98464.29181,TRUE
317,82772.4719,FALSE
319,197004.9996,TRUE
320,63222.52424,FALSE
321,43347.16129,FALSE
322,36496.56314,FALSE
323,44110.94333,FALSE
324,23200.90069,FALSE
325,79685.23359,FALSE
326,93019.59812,FALSE
327,366284.1562,TRUE
328,173809.2476,TRUE
330,51387.98577,FALSE
331,34655.16144,FALSE
332,109148.7091,TRUE
334,112430.9115,FALSE
335,154648.2418,TRUE
336,212345.9924,TRUE
337,36850.57908,FALSE
339,23187.78168,FALSE
340,92226.6088,TRUE
341,24232.67294,FALSE
342,31852.79872,FALSE
343,27007.10629,FALSE
344,12296.88161,FALSE
345,113315.458,FALSE
346,97774.2766,FALSE
347,266491.8279,TRUE
348,74633.20418,FALSE
349,38446.69965,FALSE
350,56987.17533,FALSE
351,53414.67193,FALSE
353,20826.56206,FALSE
354,14565.11763,FALSE
355,84805.02169,FALSE
356,83621.1112,TRUE
357,62623.15553,FALSE
358,209020.5135,FALSE
359,229699.2036,TRUE
360,44366.32772,FALSE
361,88253.51902,FALSE
362,44598.94204,FALSE
363,254646.2262,TRUE
364,22511.7401,FALSE
365,102708.3467,TRUE
366,32584.92151,FALSE
368,211444.8157,FALSE
369,76259.29529,FALSE
372,7322.273353,FALSE
373,7159.90991,FALSE
376,54898.7738,FALSE
377,76196.65369,FALSE
379,156594.1415,FALSE
380,131280.2121,FALSE
382,183957.1551,FALSE
383,215470.0866,TRUE
384,35220.44708,FALSE
385,82958.86152,FALSE
386,56962.81037,FALSE
387,463640.1933,TRUE
388,174644.3115,TRUE
389,32418.53667,FALSE
390,31455.74742,FALSE
391,38604.92622,FALSE
392,48446.96339,FALSE
393,42797.63257,FALSE
394,65394.30063,FALSE
395,113440.0594,TRUE
396,125187.2482,TRUE
397,63926.52714,TRUE
398,42570.57277,FALSE
399,18588.17055,FALSE
400,18580.10374,FALSE
401,101698.4866,FALSE
402,297932.3896,TRUE
403,80129.79359,FALSE
405,290919.0445,TRUE
406,31915.41496,FALSE
407,17575.44774,FALSE
408,29692.62353,FALSE
409,11616.26332,FALSE
410,241947.7991,TRUE
411,91733.85928,TRUE
412,81332.3236,FALSE
414,29591.45351,FALSE
415,49477.52705,FALSE
416,28157.39714,FALSE
417,98285.05394,FALSE
418,24462.10045,FALSE
419,64153.92042,TRUE
420,41338.3827,TRUE
421,42173.539,TRUE
422,121828.223,TRUE
423,116833.1143,TRUE
426,484598.2023,TRUE
427,162677.6363,TRUE
428,218406.3834,TRUE
430,248943.8588,TRUE
432,219014.5568,TRUE
433,245234.7162,TRUE
434,197584.1642,TRUE
435,446743.6827,TRUE
436,9147.217117,FALSE
437,13690.3734,FALSE
438,97269.71802,FALSE
439,96703.20886,FALSE
440,57542.01222,FALSE
441,74394.35986,FALSE
442,267082.5971,TRUE
443,7850.013855,FALSE
444,250279.5163,TRUE
445,115140.5571,FALSE
446,256792.356,TRUE
447,86568.39172,FALSE
448,103540.5804,FALSE
449,60070.13259,FALSE
450,115291.1661,FALSE
453,121754.2197,FALSE
454,44317.60229,FALSE
455,52180.24347,FALSE
456,62095.94059,FALSE
457,159153.6664,FALSE
458,144548.9634,FALSE
459,243446.4005,FALSE
460,48993.11788,FALSE
461,116328.1459,FALSE
462,153799.8135,FALSE
465,139509.0822,FALSE
466,112432.778,FALSE
467,30520.15515,FALSE
468,106205.3062,FALSE
469,68935.7169,FALSE
470,100404.3295,FALSE
471,24859.34342,FALSE
472,217459.8905,TRUE
473,63281.40688,FALSE
474,203644.468,TRUE
476,98429.78448,FALSE
477,161810.9296,FALSE
478,108313.8797,FALSE
479,226064.0452,TRUE
480,66915.00387,FALSE
481,27374.70606,FALSE
482,118545.0242,FALSE
483,125712.9663,FALSE
484,179501.2824,TRUE
485,80244.84476,FALSE
486,234382.3382,TRUE
487,87314.41667,FALSE
488,12170.08215,FALSE
490,316645.5767,TRUE
491,239570.3519,TRUE
492,135796.4175,FALSE
494,127277.3943,FALSE
495,85907.75485,FALSE
496,130776.5833,FALSE
497,254969.6238,FALSE
498,107324.7334,FALSE
499,182138.9838,TRUE
500,72360.17186,FALSE
501,86294.96698,FALSE
502,54974.27456,FALSE
503,233654.6561,TRUE
504,307742.0282,TRUE
505,155700.7495,FALSE
507,223122.0906,TRUE
508,195229.5048,TRUE
509,153050.6049,FALSE
511,32026.90073,FALSE
513,127349.0427,TRUE
514,504300.7143,TRUE
515,86236.39067,FALSE
516,37692.24498,FALSE
517,93028.20046,FALSE
518,273264.4093,TRUE
519,321196.7368,FALSE
520,69503.83914,FALSE
522,54441.31877,FALSE
523,322027.7839,TRUE
524,90679.4207,FALSE
525,94399.75936,FALSE
526,97924.45685,FALSE
527,216663.3039,TRUE
528,168393.1031,TRUE
529,215414.5945,TRUE
530,119416.673,FALSE
531,259398.5851,TRUE
532,62617.28791,FALSE
533,0,FALSE
534,43030.58771,FALSE
536,175439.8582,TRUE
537,227213.8124,TRUE
539,372003.2011,TRUE
540,198705.5206,TRUE
545,208775.9505,TRUE
546,191800.4422,TRUE
2000,243709.7818,TRUE
2001,34811.77313,TRUE
2002,320573.1965,TRUE
2003,205139.4862,TRUE
2005,14703.55455,TRUE
2006,247113.5585,TRUE
2008,292573.5209,TRUE
2009,35905.51673,FALSE
2010,74309.80989,FALSE
2012,84072.79951,FALSE
2021,199716.6435,TRUE
2022,23514.67337,FALSE
2023,52128.13403,FALSE
3002,217652.6858,FALSE
3016,46648.97714,FALSE
3040,0,FALSE
3041,8514.572558,FALSE
3042,8066.035811,FALSE
3043,5908.797267,FALSE
3044,4072.630682,FALSE
3046,6924.989812,FALSE
3047,7803.254758,FALSE
3048,7683.529805,FALSE
3049,13477.46288,FALSE
3050,4608.537202,FALSE
3052,7198.641239,FALSE
3053,4169.236207,FALSE
3054,7808.072068,FALSE
3055,8180.870931,FALSE
3056,55518.79332,TRUE
3057,15696.53479,FALSE
3058,7492.437192,FALSE
3059,5107.81291,FALSE
3060,6016.855442,FALSE
3061,3140.098925,FALSE
3062,5298.528721,FALSE
3063,4483.738321,FALSE
3064,15298.19908,FALSE
3065,4200.866295,FALSE
3066,4325.991459,FALSE
3067,10577.45638,FALSE
3068,10313.2708,FALSE
3069,4816.609262,FALSE
3070,8627.761372,FALSE
