station,SOC provided,whether_electrified,whether_electrified
72,7008.578507,FALSE,FALSE
79,4755.18115,FALSE,FALSE
82,2021.473308,FALSE,FALSE
83,1774.87386,FALSE,FALSE
116,6754.656538,FALSE,FALSE
119,140.3936782,FALSE,FALSE
120,705.0480103,FALSE,FALSE
127,16715.07406,TRUE,TRUE
128,15126.54979,TRUE,TRUE
143,3601.586529,FALSE,FALSE
144,1114.950987,FALSE,FALSE
146,8041.41145,TRUE,TRUE
150,3163.550671,FALSE,FALSE
151,20428.5478,TRUE,TRUE
152,7078.064048,TRUE,TRUE
153,4604.204499,FALSE,FALSE
157,1904.771052,FALSE,FALSE
161,8387.073247,FALSE,FALSE
164,4518.316533,FALSE,FALSE
167,5764.005942,FALSE,FALSE
168,11547.8961,FALSE,TRUE
173,13748.87236,TRUE,TRUE
174,5968.447329,FALSE,FALSE
195,6012.440865,FALSE,FALSE
212,8426.948561,FALSE,FALSE
216,629.3597268,FALSE,FALSE
217,3632.44544,FALSE,FALSE
223,7437.461386,TRUE,TRUE
224,587.9815988,FALSE,FALSE
228,3938.656582,FALSE,FALSE
229,19295.42329,TRUE,TRUE
232,2795.480927,FALSE,FALSE
236,8276.837936,FALSE,FALSE
237,8815.02163,FALSE,FALSE
238,8402.913401,TRUE,TRUE
239,2122.120354,FALSE,FALSE
241,1207.728813,FALSE,FALSE
242,1830.487067,FALSE,FALSE
243,1055.23647,FALSE,FALSE
244,1472.738771,FALSE,FALSE
245,604.805041,FALSE,FALSE
247,4624.220208,FALSE,FALSE
248,3111.193931,TRUE,TRUE
249,5904.115133,TRUE,TRUE
251,15803.61757,TRUE,TRUE
252,9433.073781,TRUE,TRUE
253,4760.688785,FALSE,FALSE
254,4041.051556,FALSE,FALSE
257,6532.306428,FALSE,FALSE
258,2007.393965,FALSE,FALSE
259,5173.508609,FALSE,FALSE
260,2076.370783,FALSE,FALSE
261,2139.056464,FALSE,FALSE
262,909.5517158,FALSE,FALSE
264,3695.766894,FALSE,FALSE
265,7222.077599,FALSE,FALSE
266,1861.980789,FALSE,FALSE
267,6375.064929,FALSE,FALSE
268,5270.905411,FALSE,FALSE
270,1175.858855,FALSE,FALSE
274,2114.910871,FALSE,FALSE
275,1191.610496,FALSE,FALSE
276,4291.252004,FALSE,FALSE
278,1400.773523,FALSE,FALSE
279,5128.824904,FALSE,FALSE
280,8036.261384,TRUE,TRUE
281,11519.0242,TRUE,TRUE
282,2292.193465,FALSE,FALSE
284,17048.25214,TRUE,TRUE
285,22343.31963,TRUE,TRUE
289,776.1810593,FALSE,FALSE
291,2139.102904,FALSE,FALSE
293,20897.4893,TRUE,TRUE
295,3424.659744,FALSE,FALSE
296,10592.71797,TRUE,TRUE
297,8687.471138,FALSE,FALSE
301,6769.645169,FALSE,FALSE
302,2179.906264,FALSE,FALSE
303,5526.329174,FALSE,FALSE
304,7286.404027,FALSE,FALSE
305,12332.30149,TRUE,TRUE
306,3579.482592,FALSE,FALSE
307,4559.345394,FALSE,FALSE
308,2569.859467,FALSE,FALSE
309,10292.6291,TRUE,TRUE
310,1951.198872,FALSE,FALSE
311,3091.976273,FALSE,FALSE
312,7597.383655,FALSE,FALSE
313,1605.015292,FALSE,FALSE
314,2177.565218,FALSE,FALSE
315,16476.78432,TRUE,TRUE
316,6563.464634,TRUE,TRUE
317,5434.819541,FALSE,FALSE
319,13063.22719,TRUE,TRUE
320,4997.195271,FALSE,FALSE
321,3266.407178,FALSE,FALSE
322,2128.175872,FALSE,FALSE
323,3089.168497,FALSE,FALSE
324,1471.398652,FALSE,FALSE
325,5365.71579,FALSE,FALSE
326,6384.702256,FALSE,FALSE
327,23374.5756,TRUE,TRUE
328,9565.911956,TRUE,TRUE
330,3911.225592,FALSE,FALSE
331,1956.445919,FALSE,FALSE
332,5967.553589,TRUE,TRUE
334,8687.410085,FALSE,FALSE
335,8677.107622,TRUE,TRUE
336,12593.89079,TRUE,TRUE
337,2727.60993,FALSE,FALSE
339,1347.494069,FALSE,FALSE
340,5300.171376,TRUE,TRUE
341,1883.64517,FALSE,FALSE
342,2263.278171,FALSE,FALSE
343,1942.497531,FALSE,FALSE
344,908.5813469,FALSE,FALSE
345,8455.149124,FALSE,FALSE
346,7290.869775,FALSE,FALSE
347,15876.79864,TRUE,TRUE
348,4850.092868,FALSE,FALSE
349,2792.275447,FALSE,FALSE
350,3294.888017,FALSE,FALSE
351,3307.434153,FALSE,FALSE
353,1082.592836,FALSE,FALSE
354,1060.079881,FALSE,FALSE
355,5204.0626,FALSE,FALSE
356,5043.940182,TRUE,TRUE
357,4202.845358,FALSE,FALSE
358,19487.59518,TRUE,TRUE
359,13146.76932,TRUE,TRUE
360,3050.840298,FALSE,FALSE
361,5858.480765,FALSE,FALSE
362,3369.291706,FALSE,FALSE
363,13667.39459,TRUE,TRUE
364,1745.134715,FALSE,FALSE
365,6956.955572,TRUE,TRUE
366,2227.431155,FALSE,FALSE
368,22218.34735,TRUE,TRUE
369,5290.033864,FALSE,FALSE
372,438.0721767,FALSE,FALSE
373,514.2823619,FALSE,FALSE
376,4056.562573,FALSE,FALSE
377,5608.666733,FALSE,FALSE
379,10739.8564,FALSE,FALSE
380,9980.332299,FALSE,FALSE
