week,ebike_return_error,lost_demand,out_of_battery_trips,lost_demand_causedby_battery,three_error,ebike_trips
1,6014,56093,1,2,1,402455
2,5939,61053,5,3,3,398423
3,5734,60381,2,4,6,395750
4,5607,61365,24,5,3,397010
5,5520,62092,6,6,3,396121
6,5164,62582,16,7,1,394750
7,5213,62545,5,8,2,395177
8,5701,62322,46,9,6,396070
9,5768,62416,17,10,4,395779
10,5567,61968,10,11,0,395623
11,6093,62748,19,12,7,396149
12,6211,61966,17,13,5,396459
13,5921,59961,21,14,2,397990
14,5844,61607,9,15,6,397558
15,5608,62933,5,16,1,394667
16,5519,62786,8,17,4,395935
17,5558,63089,4,18,2,395852
18,6009,62175,3,19,4,396301
19,5912,62453,9,20,4,395392
20,5438,62730,3,21,3,396107
21,5648,62545,8,22,2,395814
22,5550,61455,16,23,4,395891
23,5766,62146,3,24,3,395626
24,5583,63585,12,25,2,394865
25,5584,62025,24,26,0,395658
26,5906,60875,4,27,0,396815
27,5803,63458,11,28,2,395399
28,5501,61361,17,29,1,395573
29,5396,61376,21,30,8,395855
30,5789,65033,6,31,2,392318
31,5323,64246,10,32,4,394091
32,5563,63298,9,33,1,394744
33,5568,64108,4,34,2,394353
34,5640,62679,46,35,1,395033
35,5514,62741,30,36,3,395455
36,5421,64120,64,37,0,393684
37,5241,64068,36,38,0,393844
38,5131,63388,12,39,0,394044
39,5142,62899,10,40,4,394476
40,5490,61877,18,41,3,396004
41,5531,62955,40,42,4,394587
42,5543,63397,17,43,1,394415
43,5686,63290,21,44,1,394764
44,5229,64570,6,45,2,393124
45,5524,63110,3,46,3,394688
46,5587,62564,5,47,1,395600
47,5340,63684,10,48,0,394837
48,4982,63816,9,49,0,393065
49,5238,63300,2,50,0,393427
50,5339,63709,22,51,1,395051
