stationid,tripsin,tripsout,tripsfailedin,tripsfailedout,tripsfailedout_battery,trips_failedout_destinationfull,station_capacity,usage
519,71122,71132,326,10075,0,2987,61,152655
426,59837,59843,3699,8861,0,2429,29,132240
497,55461,55478,1027,4311,0,2210,59,116277
514,50548,50570,1434,7716,0,1617,52,110268
435,51533,51519,720,3830,0,1967,47,107602
459,48470,48494,940,3590,0,2078,49,101494
402,40138,40137,4745,15413,0,1426,39,100433
490,42145,42178,132,7876,0,1477,59,92331
3255,33817,33817,5176,17843,0,1475,19,90653
285,43284,43291,263,3723,0,2238,51,90561
523,41964,41979,245,4865,0,1535,51,89053
3002,41870,41876,504,4636,0,2236,25,88886
368,42054,42050,644,3917,0,2015,39,88665
293,40446,40435,460,2893,0,2246,55,84234
2006,38064,38075,4,7279,0,415,49,83422
151,39092,39092,864,4089,0,1916,33,83137
387,38714,38721,962,4003,0,2304,39,82400
358,38393,38398,883,4071,0,1784,36,81745
477,36213,36230,496,8635,0,1469,59,81574
284,37390,37393,691,3417,0,1668,30,78891
168,37086,37086,520,3273,0,1471,47,77965
382,36816,36808,492,3077,0,1795,36,77193
229,35921,35937,636,3840,0,1762,23,76334
327,35178,35186,1671,3232,0,2160,39,75267
3263,35410,35405,218,4167,0,2648,59,75200
444,33733,33737,1018,6603,0,1305,30,75091
281,26867,26867,1284,19953,0,392,57,74971
505,34250,34247,525,3840,0,1291,36,72862
499,31561,31560,12,8385,0,634,36,71518
3256,32791,32785,639,4289,0,1286,22,70504
3427,32833,32825,1067,3378,0,1546,40,70103
128,31967,31976,643,3888,0,1720,30,68474
359,25039,25039,3711,14252,0,1110,53,68041
3435,32279,32286,403,2806,0,1810,45,67774
379,30649,30673,402,5821,0,1297,42,67545
465,31830,31811,189,3455,0,1779,39,67285
405,32154,32154,441,2299,0,1277,40,67048
432,25075,25062,4717,11805,0,1173,31,66659
446,31779,31787,203,2780,0,1242,39,66549
504,31183,31168,659,3509,0,1528,45,66519
457,30390,30384,11,5363,0,1118,39,66148
492,29563,29584,312,6330,0,1200,61,65789
2008,30887,30885,687,3105,0,1352,24,65564
3224,30609,30615,436,3142,0,1440,30,64802
127,30520,30508,643,2638,0,1584,31,64309
509,30509,30513,606,2645,0,1074,36,64273
462,30810,30801,539,1832,0,1155,47,63982
458,29403,29411,516,3009,0,1294,31,62339
3428,29234,29237,554,2616,0,1492,30,61641
518,28437,28433,59,3859,0,1321,39,60788
442,29160,29205,266,2147,0,1311,51,60778
433,25454,25461,3286,6513,0,1234,39,60714
479,28244,28239,212,3747,0,829,31,60442
491,26448,26446,1338,5882,0,972,51,60114
496,27941,27954,393,2965,0,1113,47,59253
297,27950,27958,495,2593,0,1457,27,58996
347,27357,27354,407,3131,0,1611,35,58249
537,27214,27194,711,3082,0,1126,21,58201
237,26787,26787,988,2450,0,1315,39,57012
527,26030,26031,188,4692,0,1056,30,56941
380,26795,26790,414,2325,0,1083,39,56324
161,26663,26673,529,2194,0,1291,30,56059
472,26509,26511,247,2723,0,1021,41,55990
483,26393,26401,487,2621,0,1783,35,55902
173,25554,25558,58,4603,0,815,51,55773
445,26281,26252,520,2695,0,1093,52,55748
494,26122,26117,1773,1525,0,906,35,55537
3165,24696,24700,4,6077,0,285,51,55477
486,25970,25967,259,2860,0,1217,39,55056
3374,25653,25653,65,3661,0,230,36,55032
3137,25554,25556,79,3796,0,227,31,54985
466,25891,25878,494,2570,0,1091,35,54833
236,25657,25655,843,2639,0,1419,39,54794
401,25673,25673,510,2938,0,1347,42,54794
503,25174,25186,1881,2436,0,1119,29,54677
450,25513,25538,5,3515,0,1070,59,54571
251,25762,25775,507,2459,0,1449,27,54503
453,25770,25753,241,2352,0,894,39,54116
334,25731,25737,484,2077,0,1125,31,54029
3141,24997,24998,37,3616,0,744,59,53648
3260,25132,25137,485,2384,0,1193,31,53138
212,24913,24911,421,2643,0,1005,28,52888
482,25045,25020,242,2404,0,939,39,52711
507,24980,25000,63,2632,0,1286,45,52675
312,24512,24519,607,2822,0,1280,31,52460
498,24441,24428,316,3232,0,907,30,52417
345,25128,25123,652,1511,0,1194,35,52414
461,24126,24104,147,3375,0,1262,39,51752
545,24091,24109,256,3191,0,1054,27,51647
304,20302,20302,3077,7347,0,1171,33,51028
417,23134,23141,736,3388,0,1762,23,50399
315,23205,23217,700,2959,0,1344,29,50081
3282,23364,23369,38,3170,0,197,38,49941
383,23555,23574,381,2211,0,1073,39,49721
478,23055,23058,479,2947,0,532,31,49539
531,23366,23363,306,2157,0,1400,39,49192
2021,22921,22941,27,3285,0,678,43,49174
265,23097,23086,509,2403,0,1435,35,49095
336,23471,23474,369,1718,0,1081,36,49032
434,23071,23092,166,2520,0,1119,30,48849
3443,15167,15167,2912,14934,0,413,41,48180
410,22466,22481,599,2625,0,1279,35,48171
530,21719,21710,350,4189,0,887,24,47968
524,21665,21667,443,4072,0,974,57,47847
3016,22708,22746,478,1860,0,1759,47,47792
3163,20821,20819,13,5870,0,370,43,47523
529,21984,21981,440,3057,0,674,41,47462
526,22337,22335,100,2671,0,900,39,47443
3258,22342,22359,386,2279,0,1060,37,47366
517,21760,21759,13,3693,0,1141,59,47225
474,22282,22280,148,2446,0,975,47,47156
428,21912,21934,567,2719,0,1116,30,47132
3167,21492,21491,2,4088,0,285,55,47073
167,22196,22167,162,2364,0,1227,45,46889
3164,18872,18863,0,8784,0,286,67,46519
448,21690,21685,200,2835,0,665,31,46410
468,21436,21434,19,3487,0,1175,49,46376
501,20988,20981,68,4313,0,731,43,46350
363,22101,22106,265,1812,0,1218,49,46284
326,21341,21344,1638,1956,0,851,27,46279
2003,21680,21668,468,2433,0,849,39,46249
540,21794,21801,151,2442,0,1034,30,46188
361,21656,21670,264,2333,0,1083,43,45923
